param numhrs := 16;

set D := SUN, MON, TUE, WED, THU, FRI, SAT;

set S := Sh1, Sh2, Sh3, Sh4, Sh5, Sh6, Sh7, Sh8, Sh9;

param dmnd :   SUN  MON     TUE     WED     THU     FRI     SAT :=
1               0   3       3       4       3       2       0
2               0   14      14      16      14      12      12
3               0   24      24      27      24      20      15
4               0   28      28      32      28      23      15
5               0   33      33      37      33      24      16
6               0   34      34      38      34      24      15
7               0   35      35      39      35      25      11
8               0   35      35      40      35      27      0
9               0   34      34      39      34      25      0
10              0   31      31      35      31      24      0
11              2   24      24      27      24      25      0
12              3   19      19      21      19      21      0
13              2   24      24      27      24      13      0
14              2   16      16      18      16      0       0
15              0   7       7       7       7       0       0
16              0   5       5       5       5       0       0;


param shifts := 
['SUN',*,*]:
                   Sh1  Sh2  Sh3  Sh4  Sh5  Sh6  Sh7  Sh8  Sh9 :=
1                   0    0    0    0    0    0    0    0    0
2                   0    0    0    0    0    0    0    0    0
3                   0    0    0    0    0    0    0    0    0
4                   0    0    0    0    0    0    0    0    0
5                   0    0    0    0    0    0    0    0    0
6                   0    0    0    0    0    0    0    0    0
7                   0    0    0    0    0    0    0    0    0
8                   0    0    0    0    0    0    0    0    0
9                   0    0    0    0    0    0    0    0    0
10                  0    0    0    0    0    0    0    0    0
11                  0    0    0    0    0    0    0    0    1
12                  0    0    0    0    0    0    0    0    1
13                  0    0    0    0    0    0    0    0    1
14                  0    0    0    0    0    0    0    0    1
15                  0    0    0    0    0    0    0    0    0
16                  0    0    0    0    0    0    0    0    0


['MON',*,*]:
                   Sh1  Sh2  Sh3  Sh4  Sh5  Sh6  Sh7  Sh8  Sh9 :=
1                   1    0    0    0    0    0    0    0    0
2                   1    1    0    0    0    0    0    0    0
3                   1    1    1    0    0    0    0    0    0
4                   1    1    1    1    0    0    0    0    0
5                   0    1    1    1    1    0    0    0    0
6                   1    0    1    1    1    1    0    0    1
7                   1    1    0    1    1    1    1    0    1
8                   1    1    1    0    1    1    1    1    1
9                   1    1    1    1    0    1    1    1    1
10                  0    1    1    1    1    0    1    1    1
11                  0    0    1    1    1    1    0    1    0
12                  0    0    0    1    1    1    1    0    1
13                  0    0    0    0    1    1    1    1    1
14                  0    0    0    0    0    1    1    1    1
15                  0    0    0    0    0    0    1    1    1
16                  0    0    0    0    0    0    0    1    1

['TUE',*,*]:
                   Sh1  Sh2  Sh3  Sh4  Sh5  Sh6  Sh7  Sh8  Sh9 :=
1                   1    0    0    0    0    0    0    0    0
2                   1    1    0    0    0    0    0    0    0
3                   1    1    1    0    0    0    0    0    0
4                   1    1    1    1    0    0    0    0    0
5                   0    1    1    1    1    0    0    0    0
6                   1    0    1    1    1    1    0    0    1
7                   1    1    0    1    1    1    1    0    1
8                   1    1    1    0    1    1    1    1    1
9                   1    1    1    1    0    1    1    1    1
10                  0    1    1    1    1    0    1    1    1
11                  0    0    1    1    1    1    0    1    0
12                  0    0    0    1    1    1    1    0    1
13                  0    0    0    0    1    1    1    1    1
